date,open,high,low,close,volume
2020-01-02,115012.98,116351.47,108440.93,109540.56,164593
2020-01-03,108799.55,111284.21,107272.40,110880.72,335578
2020-01-06,110082.40,112585.71,109127.58,111680.79,212146
2020-01-07,111723.84,113568.34,110876.10,113051.21,129318
2020-01-08,113868.82,121482.62,112849.03,118258.61,174816
2020-01-09,118356.29,125590.64,116515.20,123281.39,387090
2020-01-10,123325.42,124165.17,119145.12,119466.60,79357
2020-01-13,119369.66,120908.95,117170.41,119388.12,175535
2020-01-14,119219.86,120322.26,117793.84,118223.22,254214
2020-01-15,117343.09,119431.89,114298.28,114470.60,880099
2020-01-16,114521.66,116311.47,112280.19,112865.37,91813
2020-01-17,112871.62,112980.09,111645.61,112177.31,161977
2020-01-20,111665.53,115608.13,111261.51,114600.64,254809
2020-01-21,115150.46,115740.31,113025.88,114688.80,288252
2020-01-22,114610.38,116515.18,114070.83,114161.53,138059
2020-01-23,114125.32,115202.78,112091.58,114728.35,504349
2020-01-24,113828.27,113890.83,112063.45,113183.58,227769
2020-01-27,114027.19,115187.43,110700.97,111486.02,506361
2020-01-28,111505.84,113859.94,109565.51,113003.49,376941
2020-01-29,112927.38,114353.97,112647.58,113147.31,197500
2020-01-30,113500.42,114474.20,112941.40,113850.06,131024
2020-01-31,113014.30,113106.17,108101.86,108360.09,517069
2020-02-03,107982.96,110043.19,107473.08,109415.21,354535
2020-02-04,109546.09,110060.97,106658.34,106716.97,133442
2020-02-05,106376.45,109063.91,105844.39,108303.08,207389
2020-02-06,108212.72,111754.83,106850.24,107181.51,63766
2020-02-07,107127.28,108048.87,105396.35,107867.08,162174
2020-02-10,106960.81,107860.08,104800.07,104980.64,195648
2020-02-11,104678.78,105701.47,104435.58,105637.88,43810
2020-02-12,104613.38,109586.03,104336.45,108723.77,179836
2020-02-13,108416.80,109604.25,104927.90,105426.94,128815
2020-02-14,105271.57,109128.37,104898.26,107172.18,156495
2020-02-17,107196.31,109800.55,105412.43,108499.84,139333
2020-02-18,108488.44,110777.01,107832.20,110448.68,105549
2020-02-19,110499.98,110555.40,107121.41,107689.13,244945
2020-02-20,107189.54,108743.86,100016.23,100910.31,181915
2020-02-21,100842.14,101768.20,98183.64,100141.88,156080
2020-02-24,99984.69,101783.75,97329.54,97679.92,172132
2020-02-25,97711.72,98566.71,97002.73,97321.11,145326
2020-02-26,97313.43,99867.56,96121.96,99355.51,121807
2020-02-27,98334.37,99123.82,98292.06,98422.25,107930
2020-02-28,98473.27,98737.63,97853.05,98151.07,245770
2020-03-02,97900.20,99747.31,96363.47,99624.77,165723
2020-03-03,99081.68,103343.08,97302.09,101709.64,115608
2020-03-04,101267.32,101550.12,97212.51,98299.43,309393
2020-03-05,98481.59,100566.75,95300.01,96474.47,390657
2020-03-06,96626.44,97105.50,93823.53,94766.02,282704
2020-03-09,95206.70,95588.79,92716.99,93671.27,272408
2020-03-10,93759.82,94293.04,90750.98,90989.36,106276
2020-03-11,91270.24,92937.48,91221.19,92298.79,482181
2020-03-12,92134.03,93030.91,91028.09,91932.69,94970
2020-03-13,91878.52,92816.78,88795.47,90285.72,97867
2020-03-16,91102.62,91423.54,90275.46,90696.14,111579
2020-03-17,90413.61,93550.83,89851.37,92111.65,150357
2020-03-18,91767.47,93377.87,90548.98,91652.35,128398
2020-03-19,91002.18,93435.13,90802.11,93155.98,77430
2020-03-20,94032.49,94212.13,92289.34,93343.14,120704
2020-03-23,92952.02,97173.45,92681.05,94936.26,87221
2020-03-24,94974.09,96396.14,90056.66,91378.71,325247
2020-03-25,90784.02,90826.48,89081.40,90457.01,995260
2020-03-26,90533.58,92209.17,89959.47,90745.07,83453
2020-03-27,91074.49,94059.51,90769.95,92688.12,419791
2020-03-30,92665.59,92986.93,92462.91,92750.53,139802
2020-03-31,92507.55,93381.48,91477.52,93365.49,164202
2020-04-01,93575.84,94518.39,93014.71,94413.03,205447
2020-04-02,94738.54,101751.52,93875.36,100016.10,99267
2020-04-03,100342.32,100941.94,97671.63,97899.48,158511
2020-04-06,98318.98,98698.72,96418.02,97632.70,392960
2020-04-07,97896.73,102166.77,97446.22,102039.03,127452
2020-04-08,102023.42,104718.00,101840.03,103329.96,166807
2020-04-09,102592.48,103664.64,99969.19,99995.15,90555
2020-04-10,99524.34,106610.21,98945.55,105190.93,457709
2020-04-13,105635.78,106008.64,103415.79,103877.11,189843
2020-04-14,103356.69,104737.65,100315.03,100662.56,292570
2020-04-15,100441.77,105251.56,99169.82,104883.47,28767
2020-04-16,105081.03,105737.43,102624.97,103029.53,168661
2020-04-17,102990.76,107331.46,102361.85,106984.40,61480
2020-04-20,107503.48,109891.70,106970.58,108238.73,316730
2020-04-21,108166.52,109812.54,107595.73,109104.43,312550
2020-04-22,109153.31,111008.43,108881.99,110628.61,119579
2020-04-23,111835.02,113179.80,111004.19,112469.30,59343
2020-04-24,112390.70,117150.24,111627.34,115500.52,185284
2020-04-27,114981.92,115015.49,111264.47,112573.72,125529
2020-04-28,112328.27,112787.48,107977.81,109245.60,329677
2020-04-29,108632.42,109180.79,107278.54,108172.67,148632
2020-04-30,107774.19,107851.28,104437.58,105322.20,81196
2020-05-01,104723.85,106590.61,104527.66,104581.39,157452
2020-05-04,104973.12,105346.60,103613.91,104098.60,103704
2020-05-05,104278.56,104475.09,101593.88,102964.69,230383
2020-05-06,102764.97,104372.17,101304.92,101893.09,292015
2020-05-07,101454.22,102173.35,99003.73,99971.96,143840
2020-05-08,99668.17,103394.41,99508.88,103332.76,316449
2020-05-11,103992.36,109235.83,103721.75,108065.43,234498
2020-05-12,108277.53,108370.86,103839.23,104393.22,127879
2020-05-13,105281.42,105668.89,102379.47,104000.67,82330
2020-05-14,103788.69,108475.19,103614.51,107661.62,175566
2020-05-15,106870.91,109091.48,106825.59,108507.86,303373
2020-05-18,108269.50,109022.76,106838.01,107501.94,44516
2020-05-19,107111.18,109230.92,105641.58,108135.18,168783
2020-05-20,107814.30,110092.84,107488.56,110092.53,178951
2020-05-21,110641.17,112578.45,105383.85,106461.73,214153
2020-05-22,106699.74,106931.11,104838.17,106857.78,38076
2020-05-25,107594.66,111344.69,106772.10,111032.56,164913
2020-05-26,111608.96,112272.07,109433.65,110760.74,64015
2020-05-27,111288.48,113194.06,110274.23,112294.57,84218
2020-05-28,112551.98,113367.16,111507.43,112255.48,226841
2020-05-29,113250.43,114954.70,112671.48,112841.86,181832
2020-06-01,112646.87,114025.74,108363.24,109112.74,491668
2020-06-02,108865.46,112200.12,108205.90,110922.89,304189
2020-06-03,111632.35,113920.03,110287.82,113662.90,205889
2020-06-04,113764.14,115051.34,113625.17,114789.87,79375
2020-06-05,115446.24,116056.67,113004.19,114060.85,119590
2020-06-08,114217.14,116162.67,113299.15,113948.10,151391
2020-06-09,113406.08,114746.67,110260.20,110914.23,130766
2020-06-10,110561.89,116761.56,109040.75,115831.33,67871
2020-06-11,115594.14,119032.65,114357.93,117292.91,153251
2020-06-12,116918.44,117011.17,116531.62,116568.93,149635
