date,open,high,low,close,volume
2020-01-02,150865.53,151010.28,147044.46,147812.65,155723
2020-01-03,147173.47,147598.03,143727.61,143906.02,42774
2020-01-06,144259.47,145341.72,138933.29,141056.26,84896
2020-01-07,139976.70,140557.55,133417.41,136290.04,346317
2020-01-08,135684.50,136727.65,129762.20,130157.24,228796
2020-01-09,129422.42,131798.49,126835.79,128759.88,185914
2020-01-10,129398.56,131428.20,122742.45,123893.67,208820
2020-01-13,123795.09,126054.77,123166.64,124769.84,155298
2020-01-14,124888.69,126425.84,122575.05,126408.18,240418
2020-01-15,126053.66,129965.65,125925.90,129222.06,315713
2020-01-16,129180.15,130147.83,129024.02,129812.46,136359
2020-01-17,130388.45,130846.86,125228.41,127543.13,72528
2020-01-20,127793.13,128273.88,125154.47,125486.68,185436
2020-01-21,125615.10,132106.85,124698.56,128904.63,219904
2020-01-22,128062.79,129425.18,126055.85,128291.98,56079
2020-01-23,128705.24,133049.29,127853.25,132309.13,172779
2020-01-24,131580.55,133405.25,129490.18,132123.50,119896
2020-01-27,131485.23,135450.07,130689.97,135361.96,240228
2020-01-28,135614.78,136498.98,132400.04,133994.07,265551
2020-01-29,133604.40,133977.63,130997.99,132571.92,127009
2020-01-30,132965.81,134324.29,132227.61,132826.93,90362
2020-01-31,131602.43,133941.89,131427.10,132747.65,65613
2020-02-03,133007.53,133686.94,129960.18,130403.25,151328
2020-02-04,130388.01,131432.54,129373.35,130955.37,73802
2020-02-05,130994.37,131960.55,129850.44,131094.54,138450
2020-02-06,131275.36,132373.88,130265.62,131632.01,75395
2020-02-07,131594.43,132641.41,127493.14,127893.43,200953
2020-02-10,128370.72,131672.04,126633.61,127614.75,90887
2020-02-11,127538.83,130480.00,126807.47,129441.55,116367
2020-02-12,129699.97,135802.69,128202.96,133006.66,55934
2020-02-13,132834.77,134002.12,123906.74,126387.48,189450
2020-02-14,126442.86,128260.53,125194.81,125960.95,67699
2020-02-17,126224.96,130109.97,125382.44,130026.14,158002
2020-02-18,130391.85,133481.16,129170.58,131878.91,74473
2020-02-19,131760.20,132795.50,129745.57,132288.23,287198
2020-02-20,132360.76,134858.65,125680.85,127393.86,140121
2020-02-21,127194.98,127719.51,124477.41,125416.70,166270
2020-02-24,124985.95,128778.30,123273.24,127809.87,355206
2020-02-25,127662.59,128737.75,122240.86,124100.51,81362
2020-02-26,124043.35,126729.03,123207.64,125107.61,303509
2020-02-27,124752.50,125021.69,119369.80,121537.98,303735
2020-02-28,121823.21,127834.44,120801.81,126733.81,134056
2020-03-02,126773.98,129394.11,126209.59,129242.11,376658
2020-03-03,129036.51,132805.56,127724.56,131540.35,89420
2020-03-04,132870.58,134394.13,128307.43,128608.67,97147
2020-03-05,129362.51,129709.94,127617.36,129468.95,144793
2020-03-06,129412.32,129736.96,127688.13,127786.48,194032
2020-03-09,127402.67,131607.96,125533.59,129611.46,692584
2020-03-10,130043.98,130702.40,126429.37,126582.82,212008
2020-03-11,127590.50,127809.26,126760.51,127493.08,224084
2020-03-12,127813.19,132962.62,127679.04,131017.49,163033
2020-03-13,131040.85,131072.75,129435.11,129681.34,83784
2020-03-16,129179.88,129807.84,123650.66,125238.72,277588
2020-03-17,125347.57,125489.42,121453.57,123286.44,319157
2020-03-18,124583.67,130351.34,123734.11,129096.51,163231
2020-03-19,128934.30,130813.37,127201.11,127810.72,107504
2020-03-20,127662.51,130098.22,125910.38,128781.02,44665
2020-03-23,128661.86,131338.10,128198.46,129846.34,112912
2020-03-24,129859.03,130865.81,125010.77,126999.00,113586
2020-03-25,126738.88,128388.05,124512.19,124685.05,153354
2020-03-26,124984.12,126305.10,123561.10,125584.29,220866
2020-03-27,125378.44,125930.72,122317.96,122831.70,128403
2020-03-30,122360.29,123573.20,121722.02,122794.61,184617
2020-03-31,122635.17,122813.70,118199.17,120053.41,155388
2020-04-01,120060.15,124856.30,119447.21,124194.76,251146
2020-04-02,124043.21,126611.44,123679.79,126128.32,239834
2020-04-03,125456.14,127994.13,124713.85,127644.13,311363
2020-04-06,127005.67,129059.23,126939.67,127166.18,327232
2020-04-07,127473.36,129564.90,126954.08,127224.46,230056
2020-04-08,126828.15,128932.45,125183.26,127899.17,177066
2020-04-09,128211.48,129405.59,125737.77,127982.97,97243
2020-04-10,127805.53,128699.96,122941.52,126358.35,80466
2020-04-13,126337.01,129208.74,125341.36,128732.34,145826
2020-04-14,128566.22,132498.70,128398.28,132108.99,52592
2020-04-15,132067.80,134491.65,130027.05,132868.25,200282
2020-04-16,133412.60,134303.31,129364.05,130098.65,161569
2020-04-17,129792.93,129982.92,128248.78,129609.59,169423
2020-04-20,129599.05,135014.84,128808.28,133204.79,243957
